Kernel ranks of restriction to S_(n - 0)
n \ e,3,4,5,6,7,8,9,10,11,12
4,1,0,,,,,,,,
6,0,1,0,0,,,,,,
8,0,0,1,0,0,0,,,,
10,0,0,0,1,0,0,0,0,,
12,0,0,0,0,1,0,0,0,0,0
Kernel ranks of restriction to S_(n - 1)
n \ e,3,4,5,6,7,8,9,10,11,12
4,1,0,,,,,,,,
6,0,1,0,0,,,,,,
8,0,0,1,0,0,0,,,,
10,0,0,0,1,0,0,0,0,,
12,0,0,0,0,1,0,0,0,0,0
Kernel ranks of restriction to S_(n - 2)
n \ e,3,4,5,6,7,8,9,10,11,12
4,1,1,,,,,,,,
6,1,1,0,0,,,,,,
8,0,1,1,0,0,0,,,,
10,0,0,1,1,0,0,0,0,,
12,0,0,0,1,1,0,0,0,0,0
Kernel ranks of restriction to S_(n - 3)
n \ e,3,4,5,6,7,8,9,10,11,12
6,2,1,1,1,,,,,,
8,0,2,1,0,0,0,,,,
10,0,0,2,1,0,0,0,0,,
12,0,0,0,2,1,0,0,0,0,0
Kernel ranks of restriction to S_(n - 4)
n \ e,3,4,5,6,7,8,9,10,11,12
6,3,3,3,3,,,,,,
8,2,3,1,1,1,1,,,,
10,0,2,3,1,0,0,0,0,,
12,0,0,2,3,1,0,0,0,0,0
Kernel ranks of restriction to S_(n - 5)
n \ e,3,4,5,6,7,8,9,10,11,12
8,5,4,4,4,4,4,,,,
10,1,5,4,1,1,1,1,1,,
12,0,0,5,4,1,0,0,0,0,0
Kernel ranks of restriction to S_(n - 6)
n \ e,3,4,5,6,7,8,9,10,11,12
8,9,9,9,9,9,9,,,,
10,6,9,5,5,5,5,5,5,,
12,1,5,9,5,1,1,1,1,1,1
Kernel ranks of restriction to S_(n - 7)
n \ e,3,4,5,6,7,8,9,10,11,12
10,15,14,14,14,14,14,14,14,,
12,6,14,14,6,6,6,6,6,6,6
